"","kudos_count","kilojoules","average_heartrate","energy_per_hr"
"536",5,391.8,54.3,7.21546961325967
"537",7,412.3,109.6,3.76186131386861
"538",0,874.2,157.4,5.55400254129606
"539",2,823.4,123.1,6.68887083671812
"540",0,505,100.5,5.02487562189055
"541",5,3360.3,108.9,30.8567493112948
"542",0,75.1,150.5,0.499003322259136
"543",2,651.1,152.7,4.26391617550753
"544",3,1948.6,146.3,13.3192071086808
"545",0,471.4,152.7,3.08709888670596
"546",1,424,145.9,2.9061000685401
"547",0,881.6,157.3,5.60457724094088
"548",0,790.8,142.7,5.541695865452
"549",0,816.3,123.3,6.62043795620438
"550",0,150.5,120.6,1.24792703150912
"551",1,543,149.9,3.62241494329553
"552",7,2647.9,143.2,18.4909217877095
"553",0,405,136.7,2.96269202633504
"554",1,471.4,141.7,3.32674664784757
"555",0,81.8,158.3,0.516740366392925
"556",0,456.3,118.9,3.8376787216148
"557",0,1973,148.4,13.2951482479784
"558",5,1232.6,119.5,10.3146443514644
"559",1,284.3,155.6,1.82712082262211
"560",5,1179.3,136.4,8.64589442815249
"561",0,245.9,155,1.58645161290323
"562",5,486.7,156.1,3.1178731582319
"563",4,545,132.8,4.1039156626506
"564",1,1668.1,108.5,15.3741935483871
"565",0,791.6,153.3,5.16373124592303
"566",2,1450.2,134.7,10.7661469933185
"567",13,1198,122.9,9.74776240846216
"568",2,254.1,141.1,1.80085046066619
"569",22,2204.1,152.9,14.4153041203401
"570",0,1276,130.5,9.77777777777778
"571",0,119,136.8,0.869883040935672
"572",0,593.7,111.5,5.32466367713005
"573",3,1448.2,143.4,10.0990237099024
"574",1,386.8,97.4,3.97125256673511
"575",0,1253.4,141,8.88936170212766
"576",16,902.1,146.1,6.17453798767967
"577",14,3079.1,150,20.5273333333333
"578",5,342.4,171,2.00233918128655
"579",23,426.7,124.7,3.42181234963913
"580",10,420,145,2.89655172413793
"581",0,385.6,139,2.77410071942446
"582",0,957.7,157,6.1
"583",0,1120.5,130,8.61923076923077
"584",0,590,151.8,3.8866930171278
"585",0,197,129.1,1.52594887683966
"586",9,1387.4,151.8,9.13965744400527
"587",0,600.3,150.9,3.97813121272366
"588",5,557.9,146.3,3.8133971291866
"589",8,351,152,2.30921052631579
"590",5,618.1,168.4,3.67042755344418
"591",0,43,119.6,0.359531772575251
"592",1,634.9,143.8,4.41515994436718
"593",0,776,155.5,4.9903536977492
"594",5,58.5,139.6,0.419054441260745
"595",0,199.5,153.4,1.30052151238592
"596",1,2887.3,146.1,19.7624914442163
"597",0,895.2,149.7,5.97995991983968
"598",2,833.4,128,6.5109375
"599",1,6544.7,153.8,42.5533159947984
"600",9,1771,117.6,15.0595238095238
"601",20,891.1,129.6,6.87577160493827
"602",0,0.9,106.6,0.00844277673545966
"603",0,1480.8,133.7,11.0755422587883
"604",0,456.4,141,3.23687943262411
"605",4,1184.2,143.3,8.26378227494766
"606",1,657.9,126.6,5.19668246445498
"607",4,1018.2,129.6,7.85648148148148
"608",3,804.3,109.9,7.31847133757962
"609",7,2480.1,123.3,20.1143552311436
"610",2,1331.9,139.4,9.5545193687231
"611",2,635.6,163.8,3.88034188034188
"612",0,637.4,146.3,4.3568010936432
"613",0,1859.1,135.3,13.7405764966741
"614",7,706.2,166.8,4.23381294964029
"615",0,726.8,105.4,6.89563567362429
"616",0,367.8,113,3.25486725663717
"617",5,1270.6,176.5,7.19886685552408
"618",0,386.5,143,2.7027972027972
"619",0,26.2,133.8,0.195814648729447
"620",0,2371.3,139.1,17.0474478792236
"621",0,5130.7,128.3,39.9898674980514
"622",3,1730.5,145.2,11.918044077135
"623",1,170.1,82.8,2.05434782608696
"624",0,1263.2,138.5,9.12057761732852
"625",4,1969.4,162.8,12.0970515970516
"626",0,363,160.4,2.26309226932668
"627",11,1296.9,138.3,9.37744034707158
"628",0,598.4,128.6,4.65318818040435
"629",1,604.1,178.8,3.37863534675615
"630",0,46.4,64,0.725
"631",4,579.2,117.9,4.91263782866836
"632",8,521.5,138.1,3.7762490948588
"633",8,1358.2,167,8.13293413173653
"634",0,643.5,156.2,4.11971830985915
"635",1,533,117.3,4.54390451832907
"636",0,838.7,143.4,5.8486750348675
"637",31,470.5,142.5,3.30175438596491
"638",0,600.9,42.1,14.2731591448931
"639",2,996.1,134.8,7.38946587537092
"640",0,1331.2,146.9,9.06194690265487
"641",0,1817.2,136.6,13.303074670571
"642",1,73.2,108.6,0.674033149171271
"643",0,455.6,131.3,3.46991622239147
"644",1,607.9,157.7,3.85478757133798
"645",3,974.3,134.1,7.26547352721849
"646",0,743.5,131.7,5.64540622627183
"647",16,840.8,136.6,6.15519765739385
"648",0,732.9,143.4,5.11087866108787
"649",3,2646.3,146.6,18.0511596180082
"650",2,481.3,145.9,3.29883481836875
"651",6,1055.8,136.7,7.72348207754206
"652",8,2344.8,130.8,17.9266055045872
"653",0,608.3,130.1,4.67563412759416
"654",5,1537.3,129.3,11.8894044856922
"655",0,507,140.4,3.61111111111111
"656",0,23.8,131.7,0.180713743356112
"657",0,1140.3,108.2,10.5388170055453
"658",5,4097.2,124,33.041935483871
"659",2,1491.9,133.7,11.1585639491399
"660",1,2377.6,137.3,17.3168244719592
"661",0,2982.9,149.4,19.9658634538153
"662",4,516.8,106.6,4.84803001876173
